on x=-27..27,y=-41..4,z=-9..38
on x=1..48,y=-21..32,z=-3..46
on x=-14..33,y=-16..31,z=-21..33
on x=-15..35,y=-12..37,z=-35..9
on x=-13..39,y=-12..38,z=-20..28
on x=-8..39,y=-7..44,z=0..49
on x=-24..21,y=0..46,z=-32..20
on x=-47..2,y=3..49,z=-23..29
on x=-45..0,y=-19..31,z=-48..5
on x=1..49,y=-6..45,z=-28..21
off x=-36..-24,y=-25..-9,z=37..46
on x=-17..33,y=-33..19,z=-20..26
off x=32..48,y=-46..-27,z=19..31
on x=-7..46,y=-2..49,z=-9..40
off x=34..49,y=16..30,z=26..38
on x=-7..42,y=-33..20,z=-31..23
off x=-39..-24,y=6..24,z=-43..-30
on x=-4..44,y=-11..33,z=-22..28
off x=-19..-4,y=11..24,z=-4..15
on x=-18..35,y=1..47,z=-10..42
on x=-38704..-29913,y=-67307..-45482,z=-53950..-48039
on x=-11481..9780,y=-46545..-8065,z=-87656..-56003
on x=-14104..5703,y=53796..83853,z=26454..46302
on x=18108..49528,y=26168..38667,z=-79192..-47680
on x=-5122..20611,y=50219..60335,z=40461..68398
on x=-82960..-61985,y=-42347..-16432,z=21778..44558
on x=41884..50659,y=38180..60295,z=20780..50362
on x=-92027..-58121,y=-45821..-7572,z=1163..21456
on x=-82663..-70245,y=-31319..-1144,z=1345..22514
on x=-56376..-23264,y=-67131..-51786,z=9329..38187
on x=-29571..-21887,y=-79126..-63264,z=-12920..-8381
on x=-71506..-34224,y=-58789..-37079,z=-58204..-31694
on x=-18850..-2960,y=-34563..-8939,z=73852..84310
on x=30387..48591,y=-5795..18059,z=-84939..-57260
on x=42170..42951,y=28966..41124,z=43154..78697
on x=-50232..-28566,y=-19747..-3982,z=48881..69127
on x=-29117..-1087,y=16787..32992,z=-92308..-72316
on x=42489..52433,y=-66598..-53572,z=-20768..-2497
on x=-14477..11412,y=-67702..-36459,z=42252..65555
on x=-73250..-64838,y=-46568..-17358,z=-17083..-12617
on x=-62732..-39632,y=-42663..-24659,z=-54168..-45288
on x=-49882..-15519,y=7049..25908,z=68812..73006
on x=-70725..-51974,y=10202..38413,z=-60604..-29063
on x=-90112..-57722,y=15757..35848,z=5657..30938
on x=57934..79785,y=-38654..-9852,z=-4869..15050
on x=13322..24135,y=-2259..1276,z=-87778..-61980
on x=8479..20821,y=-26453..-23468,z=-87593..-60205
on x=67524..74027,y=29080..47925,z=-10280..11949
on x=59622..82647,y=-10422..8459,z=5819..29893
on x=32146..45020,y=-79527..-53458,z=-28052..-5495
on x=55538..70028,y=-55575..-49298,z=-30635..-6634
on x=-31760..-15957,y=-47388..-24327,z=-77432..-61341
on x=52583..73728,y=-12884..13889,z=34089..71923
on x=41338..54903,y=-5514..9883,z=46366..69350
on x=-58140..-36598,y=-7421..14213,z=51841..80204
on x=32787..39109,y=-81252..-59194,z=-7152..10176
